subject_id,activity_code,timestamp,x,y,z,activity_name,label
1600,B,251987619821922,1.3755493,15.375046,2.9716187,jogging,1
1600,B,251987670175926,-3.934433,17.538788,2.1100159,jogging,1
1600,B,251987720529930,-0.08773804,12.791565,-1.4541016,jogging,1
1600,B,251987770883934,2.038742,3.0771484,-1.0537262,jogging,1
1600,B,251987821237937,-2.5584717,-2.738678,-2.0985107,jogging,1
1600,B,251987871591941,-1.3553009,0.38841248,-0.6598511,jogging,1
1600,B,251987921945945,2.0150146,3.4161682,-7.5558777,jogging,1
1600,B,251987972299949,-6.2882385,14.711182,-3.4687195,jogging,1
1600,B,251988022653953,-2.574417,15.563843,-5.3102875,jogging,1
1600,B,251988073007957,5.6569214,16.769974,-0.098587036,jogging,1
1600,B,251988123361961,0.9068146,9.314545,1.0450592,jogging,1
1600,B,251988173715965,-1.7923279,-2.5738983,0.24681091,jogging,1
1600,B,251988224069969,-1.2578583,-4.7496796,-3.4091187,jogging,1
1600,B,251988274423973,-1.7368774,3.688675,0.8624115,jogging,1
1600,B,251988324777977,-15.762543,16.612076,-4.1779785,jogging,1
1600,B,251988375131980,2.6533508,15.861908,2.6893768,jogging,1
1600,B,251988425485984,0.701355,16.667755,1.8760223,jogging,1
1600,B,251988475839988,-5.8210297,16.942215,1.5714874,jogging,1
1600,B,251988526193992,0.96362305,12.950119,-2.2419128,jogging,1
1600,B,251988576547996,0.6802826,0.32495117,-0.6221924,jogging,1
1600,B,251988626902000,-2.3579407,-4.4585114,-3.1837158,jogging,1
1600,B,251988677256004,-1.1780243,2.359558,-0.33744812,jogging,1
1600,B,251988727610008,0.36346436,7.1090546,-5.1072693,jogging,1
1600,B,251988777964012,-10.188965,17.894684,-3.439087,jogging,1
1600,B,251988828318016,1.3706665,16.896149,-0.23558044,jogging,1
1600,B,251988878672019,1.8660431,13.835983,2.529068,jogging,1
1600,B,251988929026023,-2.1710358,6.407791,0.8679657,jogging,1
1600,B,251988979380027,-2.0418854,-6.569107,-1.0613403,jogging,1
1600,B,251989029734031,-2.0826569,0.039535522,-3.6974487,jogging,1
1600,B,251989080088035,-2.1096954,6.4341583,-4.862091,jogging,1
1600,B,251989130442039,-4.2754364,5.5098114,13.64267,jogging,1
1600,B,251989180796043,6.010147,16.053223,2.1923218,jogging,1
1600,B,251989231150047,-4.9989014,19.606735,3.4262543,jogging,1
1600,B,251989281504051,-1.1465302,17.573013,-0.5420685,jogging,1
1600,B,251989331858055,3.070984,6.6422577,-1.5028229,jogging,1
1600,B,251989382212059,-2.1336365,-4.050949,-2.104889,jogging,1
1600,B,251989432566062,-4.191513,-2.068283,-3.0178528,jogging,1
1600,B,251989482920066,-1.9732056,3.7012634,-2.1500854,jogging,1
1600,B,251989533274070,-0.0738678,19.613052,-3.8160858,jogging,1
1600,B,251989583628074,-4.760803,19.309448,-0.57585144,jogging,1
1600,B,251989633982078,3.496048,14.761658,2.8413544,jogging,1
1600,B,251989684336082,-1.4541473,8.613495,2.4773712,jogging,1
1600,B,251989734690086,-2.6970367,-1.4151611,1.1047668,jogging,1
1600,B,251989785044090,-0.97550964,-6.2751465,-3.6135254,jogging,1
1600,B,251989835398094,-1.8022919,4.9064636,-0.46939087,jogging,1
